;netid  AAAA
;joinkey  00001234000000000000000000000000
124646, 802.15.4-DATA, 149715, 2016-04-26 18:50:24.068, 376077078.074, -33, 0x0000, 19, 26 41 88 37 AA AA FF FF 01 00 31 00 04 31 07 37 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 98 5F 69 33 0C EC
124646, 802.15.4-DATA, 149716, 2016-04-26 18:50:24.089, 376077098.075, -56, 0x0000, 21, 4C 41 88 39 AA AA 01 00 12 00 2F 00 20 07 37 01 1C F9 81 00 12 00 76 14 33 73 2F FF 6B 00 3E 2A 2C 69 10 A5 C7 AF 73 DF C0 3E 6A 42 AD 15 31 64 11 5C 43 B8 51 16 4A 27 0F 13 96 81 C5 4D EB 79 61 07 9B 1B 3C AE 06 38 63 9F 2F F5 EC
124646, 802.15.4-DATA, 149717, 2016-04-26 18:50:24.091, 376077101.714, -36, 0x0000, 21, 13 41 88 39 AA AA 12 00 01 00 28 00 00 19 38 57 B9 A8 09 EA
124646, 802.15.4-DATA, 149718, 2016-04-26 18:50:24.209, 376077218.086, -58, 0x0000, 18, 4C 41 88 45 AA AA 01 00 11 00 2F 00 20 07 37 01 1A F9 81 00 11 00 A6 A4 D6 D1 9F 08 3F 2E FE 97 86 A3 ED F8 6B A2 B6 1F 20 5C 10 A0 69 86 FF F2 07 E6 43 81 83 22 A1 33 D6 1A 5F 1C 00 F0 2B F1 8E 28 8C FE 77 EA 36 88 32 2F FF F3 EA
124646, 802.15.4-DATA, 149719, 2016-04-26 18:50:24.211, 376077221.719, -32, 0x0000, 18, 13 41 88 45 AA AA 11 00 01 00 28 00 00 10 0B BE 20 F9 0D EA
124646, 802.15.4-DATA, 149720, 2016-04-26 18:50:24.388, 376077398.071, -35, 0x0000, 21, 26 41 88 57 AA AA FF FF 01 00 31 00 04 31 07 57 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 0F 16 C6 6B 0A EC
124646, 802.15.4-DATA, 149721, 2016-04-26 18:50:24.638, 376077648.073, -31, 0x0000, 16, 26 41 88 70 AA AA FF FF 01 00 31 00 04 31 07 70 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 2A 34 FB 11 0E EC
124646, 802.15.4-DATA, 149722, 2016-04-26 18:50:24.887, 376077898.070, -31, 0x0000, 11, 26 41 88 89 AA AA FF FF 01 00 31 00 04 31 07 89 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 47 D4 5D B6 0E EC
124646, 802.15.4-DATA, 149723, 2016-04-26 18:50:25.089, 376078098.073, -53, 0x0000, 16, 4C 41 88 9D AA AA 01 00 12 00 2F 00 20 07 9B 01 1C F9 81 00 12 00 77 1E 48 87 AE C3 34 57 DC 98 AE BC A6 02 3A 9F F3 35 FD 47 7D 45 74 A6 CE 03 4C 31 28 F1 41 56 E3 18 9C FE 0D 5E FE 9D E7 CA 21 8F 3A 0E 42 5F 7B 6A BD 81 0D F8 EC
124646, 802.15.4-DATA, 149724, 2016-04-26 18:50:25.091, 376078101.711, -31, 0x0000, 16, 13 41 88 9D AA AA 12 00 01 00 28 00 00 1B BE 90 B1 04 0E EC
124646, 802.15.4-DATA, 149725, 2016-04-26 18:50:25.138, 376078148.071, -33, 0x0000, 21, 26 41 88 A2 AA AA FF FF 01 00 31 00 04 31 07 A2 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 6E D0 2A 26 0C EC
