USB Device Number	 Description	 Packet Number	 Date And Time	 Elapsed Time	 RSL	 Packet Status	 Channel	 Byte Count	 PDU	 Priority	 L/S Adr	 ASN (0)	 Net ID	 To	 From	 DLPDU Specifier	 Advertise Payload	 DLL MIC	 CRC	 CRC Failure	 DLL Authenticates	 DLL Key Used	 DLL Nonce Used	 DLL ASN Used	 DLL Calc Mic	 NL Ctl	 TTL	 ASN Snippet	 Graph ID	 Dest	 Src	 Proxy	 Src Route 1	 Src Route 2	 PayloadHex	 Payload	 SL Ctl	 SL Cnt	 SL MIC	 SL Decrypts	 SL Key Used	 SL Nonce Used	 SL Calc Mic	 TL Ctl	 TL Status	 TL ExStatus	 Cipher Text	 Clear Text
124646	 802.15.4-DATA	 149715	 2016-04-26 18:50:24.068	 376,077,078.074	 -33	 0x0000	 19	 38	 Adv	 Cmd	 88	 37	 AAAA	 FFFF	 0001	 31	 0004310737000FFF7F010A010D00640200194D00000D	 985F6933	 0CEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107370000000000000001	 0004310737	 985F6933	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418837AAAAFFFF0100310004310737000FFF7F010A010D00640200194D00000D985F69330CEC	 
124646	 802.15.4-DATA	 149716	 2016-04-26 18:50:24.089	 376,077,098.075	 -56	 0x0000	 21	 76	 Data	 PData	 88	 39	 AAAA	 0001	 0012	 2F	 	 38639F2F	 F5EC	 	 auth failure	 00000000000000000000000000000000	 00043107390000000000000012	 0004310739	 198EA301	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C418839AAAA010012002F00200737011CF981001200761433732FFF6B003E2A2C6910A5C7AF73DFC03E6A42AD153164115C43B851164A270F139681C54DEB7961079B1B3CAE0638639F2FF5EC	 
124646	 802.15.4-DATA	 149717	 2016-04-26 18:50:24.091	 376,077,101.714	 -36	 0x0000	 21	 19	 ACK	 PData	 88	 39	 AAAA	 0012	 0001	 28	 	 3857B9A8	 09EA	 	 auth failure	 00000000000000000000000000000000	 00043107390000000000000001	 0004310739	 5BF38282	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 13418839AAAA12000100280000193857B9A809EA	 
124646	 802.15.4-DATA	 149718	 2016-04-26 18:50:24.209	 376,077,218.086	 -58	 0x0000	 18	 76	 Data	 PData	 88	 45	 AAAA	 0001	 0011	 2F	 	 88322FFF	 F3EA	 	 auth failure	 00000000000000000000000000000000	 00043107450000000000000011	 0004310745	 A39B4C93	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C418845AAAA010011002F00200737011AF981001100A6A4D6D19F083F2EFE9786A3EDF86BA2B61F205C10A06986FFF207E643818322A133D61A5F1C00F02BF18E288CFE77EA3688322FFFF3EA	 
124646	 802.15.4-DATA	 149719	 2016-04-26 18:50:24.211	 376,077,221.719	 -32	 0x0000	 18	 19	 ACK	 PData	 88	 45	 AAAA	 0011	 0001	 28	 	 0BBE20F9	 0DEA	 	 auth failure	 00000000000000000000000000000000	 00043107450000000000000001	 0004310745	 BC1A5027	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 13418845AAAA11000100280000100BBE20F90DEA	 
124646	 802.15.4-DATA	 149720	 2016-04-26 18:50:24.388	 376,077,398.071	 -35	 0x0000	 21	 38	 Adv	 Cmd	 88	 57	 AAAA	 FFFF	 0001	 31	 0004310757000FFF7F010A010D00640200194D00000D	 0F16C66B	 0AEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107570000000000000001	 0004310757	 0F16C66B	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418857AAAAFFFF0100310004310757000FFF7F010A010D00640200194D00000D0F16C66B0AEC	 
124646	 802.15.4-DATA	 149721	 2016-04-26 18:50:24.638	 376,077,648.073	 -31	 0x0000	 16	 38	 Adv	 Cmd	 88	 70	 AAAA	 FFFF	 0001	 31	 0004310770000FFF7F010A010D00640200194D00000D	 2A34FB11	 0EEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107700000000000000001	 0004310770	 2A34FB11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418870AAAAFFFF0100310004310770000FFF7F010A010D00640200194D00000D2A34FB110EEC	 
124646	 802.15.4-DATA	 149722	 2016-04-26 18:50:24.887	 376,077,898.070	 -31	 0x0000	 11	 38	 Adv	 Cmd	 88	 89	 AAAA	 FFFF	 0001	 31	 0004310789000FFF7F010A010D00640200194D00000D	 47D45DB6	 0EEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107890000000000000001	 0004310789	 47D45DB6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418889AAAAFFFF0100310004310789000FFF7F010A010D00640200194D00000D47D45DB60EEC	 
124646	 802.15.4-DATA	 149723	 2016-04-26 18:50:25.089	 376,078,098.073	 -53	 0x0000	 16	 76	 Data	 PData	 88	 9D	 AAAA	 0001	 0012	 2F	 	 6ABD810D	 F8EC	 	 auth failure	 00000000000000000000000000000000	 000431079D0000000000000012	 000431079D	 00347318	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C41889DAAAA010012002F0020079B011CF981001200771E4887AEC33457DC98AEBCA6023A9FF335FD477D4574A6CE034C3128F14156E3189CFE0D5EFE9DE7CA218F3A0E425F7B6ABD810DF8EC	 
124646	 802.15.4-DATA	 149724	 2016-04-26 18:50:25.091	 376,078,101.711	 -31	 0x0000	 16	 19	 ACK	 PData	 88	 9D	 AAAA	 0012	 0001	 28	 	 BE90B104	 0EEC	 	 auth failure	 00000000000000000000000000000000	 000431079D0000000000000001	 000431079D	 EF21A15F	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 1341889DAAAA120001002800001BBE90B1040EEC	 
124646	 802.15.4-DATA	 149725	 2016-04-26 18:50:25.138	 376,078,148.071	 -33	 0x0000	 21	 38	 Adv	 Cmd	 88	 A2	 AAAA	 FFFF	 0001	 31	 00043107A2000FFF7F010A010D00640200194D00000D	 6ED02A26	 0CEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107A20000000000000001	 00043107A2	 6ED02A26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 264188A2AAAAFFFF01003100043107A2000FFF7F010A010D00640200194D00000D6ED02A260CEC	 
124646	 802.15.4-DATA	 149726	 2016-04-26 18:50:25.229	 376,078,238.092	 -59	 0x0000	 14	 76	 Data	 PData	 88	 AB	 AAAA	 0012	 0011	 2F	 	 FE614A14	 F2EC	 	 auth failure	 00000000000000000000000000000000	 00043107AB0000000000000011	 00043107AB	 503B0DF0	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C4188ABAAAA120011002F0020079B011AF981001100A7702E206AD75DED19F1115339A5AB963C2ED2E2C7C4C34764F328C986BB19274B82ED53EEFD8A371929CAD7F4854444E8FE614A14F2EC	 
124646	 802.15.4-DATA	 149727	 2016-04-26 18:50:25.229	 376,078,241.729	 -52	 0x0000	 14	 19	 ACK	 PData	 88	 AB	 AAAA	 0011	 0012	 28	 	 086C5E16	 F9EA	 	 auth failure	 00000000000000000000000000000000	 00043107AB0000000000000012	 00043107AB	 7C6B771C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 134188ABAAAA1100120028000019086C5E16F9EA	 
124646	 802.15.4-DATA	 149728	 2016-04-26 18:50:25.339	 376,078,348.076	 -54	 0x0000	 11	 76	 Data	 PData	 88	 B6	 AAAA	 0001	 0012	 2F	 	 15687DD0	 F7E9	 	 auth failure	 00000000000000000000000000000000	 00043107B60000000000000012	 00043107B6	 45BAC45C	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C4188B6AAAA010012002F001F079B011AF981001100A7702E206AD75DED19F1115339A5AB963C2ED2E2C7C4C34764F328C986BB19274B82ED53EEFD8A371929CAD7F4854444E815687DD0F7E9	 
124646	 802.15.4-DATA	 149729	 2016-04-26 18:50:25.341	 376,078,351.712	 -31	 0x0000	 11	 19	 ACK	 PData	 88	 B6	 AAAA	 0012	 0001	 28	 	 98AD079B	 0EEC	 	 auth failure	 00000000000000000000000000000000	 00043107B60000000000000001	 00043107B6	 6ACA0D36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 134188B6AAAA120001002800001998AD079B0EEC	 
124646	 802.15.4-DATA	 149730	 2016-04-26 18:50:25.388	 376,078,398.068	 -32	 0x0000	 16	 38	 Adv	 Cmd	 88	 BB	 AAAA	 FFFF	 0001	 31	 00043107BB000FFF7F010A010D00640200194D00000D	 ABCD2C38	 0DEB	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107BB0000000000000001	 00043107BB	 ABCD2C38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 264188BBAAAAFFFF01003100043107BB000FFF7F010A010D00640200194D00000DABCD2C380DEB	 
124646	 802.15.4-DATA	 149731	 2016-04-26 18:50:25.639	 376,078,648.069	 -31	 0x0000	 11	 38	 Adv	 Cmd	 88	 D4	 AAAA	 FFFF	 0001	 31	 00043107D4000FFF7F010A010D00640200194D00000D	 80D462D0	 0EEB	 	 	 7777772E68617274636F6D6D2E6F7267	 00043107D40000000000000001	 00043107D4	 80D462D0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 264188D4AAAAFFFF01003100043107D4000FFF7F010A010D00640200194D00000D80D462D00EEB	 
